
 For  Li(  6) - Li(  6)
 ----------------------
   v       E            Bv           -Dv             Hv             Lv            Mv             Nv             Ov
  18  -2997.9677  0.4155955365 -1.1096865D-05  1.1069614D-10 -7.3342846D-15  2.5849852D-20 -8.8456676D-24 -4.1153099D-28
  19  -2829.6818  0.4054651568 -1.1138966D-05  1.0429382D-10 -7.6147735D-15  6.2072506D-21 -9.5224329D-24 -5.0977131D-28
  20  -2666.9097  0.3952543133 -1.1188702D-05  9.7447539D-11 -7.9108095D-15 -1.5231434D-20 -1.0332529D-23 -6.2248616D-28
  21  -2509.6694  0.3849582636 -1.1245986D-05  9.0183527D-11 -8.2210566D-15 -3.8452977D-20 -1.1293897D-23 -7.5102631D-28
  22  -2357.9782  0.3745732161 -1.1310588D-05  8.2543206D-11 -8.5434456D-15 -6.3418615D-20 -1.2421814D-23 -8.9679929D-28
  23  -2211.8518  0.3640965780 -1.1382096D-05  7.4584598D-11 -8.8750813D-15 -9.0044339D-20 -1.3727104D-23 -1.0615505D-27
  24  -2071.3030  0.3535272264 -1.1459892D-05  6.6383592D-11 -9.2121267D-15 -1.1818263D-19 -1.5215516D-23 -1.2464319D-27
  25  -1936.3410  0.3428657946 -1.1543118D-05  5.8034986D-11 -9.5496850D-15 -1.4760696D-19 -1.6887943D-23 -1.4534661D-27
  26  -1806.9698  0.3321149641 -1.1630657D-05  4.9653153D-11 -9.8817203D-15 -1.7800634D-19 -1.8740012D-23 -1.6834992D-27
  27  -1683.1870  0.3212797527 -1.1721111D-05  4.1372071D-11 -1.0201060D-14 -2.0899146D-19 -2.0765773D-23 -1.9399054D-27
  28  -1564.9820  0.3103677839 -1.1812787D-05  3.3344344D-11 -1.0499540D-14 -2.4012146D-19 -2.2960937D-23 -2.2260726D-27
  29  -1452.3351  0.2993895227 -1.1903700D-05  2.5738781D-11 -1.0768346D-14 -2.7095491D-19 -2.5328291D-23 -2.5457994D-27
  30  -1345.2153  0.2883584599 -1.1991582D-05  1.8736081D-11 -1.0998606D-14 -3.0112460D-19 -2.7887972D-23 -2.9063082D-27
  31  -1243.5795  0.2772912234 -1.2073912D-05  1.2522173D-11 -1.1182249D-14 -3.3043956D-19 -3.0687049D-23 -3.3201410D-27
  32  -1147.3704  0.2662075976 -1.2147964D-05  7.2790013D-12 -1.1313140D-14 -3.5900409D-19 -3.3810230D-23 -3.8042677D-27
  33  -1056.5161  0.2551304270 -1.2210881D-05  3.1728075D-12 -1.1388387D-14 -3.8734117D-19 -3.7386746D-23 -4.3758668D-27
  34   -970.9287  0.2440853892 -1.2259761D-05  3.4045257D-13 -1.1409672D-14 -4.1647966D-19 -4.1595387D-23 -5.0580285D-27
  35   -890.5040  0.2331006230 -1.2291780D-05 -1.1251273D-12 -1.1384367D-14 -4.4798816D-19 -4.6661559D-23 -5.8876501D-27
  36   -815.1212  0.2222062111 -1.2304315D-05 -1.1886587D-12 -1.1326179D-14 -4.8392335D-19 -5.2832031D-23 -6.8898453D-27
  37   -744.6430  0.2114335263 -1.2295078D-05  1.1674868D-13 -1.1254934D-14 -5.2664584D-19 -6.0360191D-23 -8.1009828D-27
  38   -678.9167  0.2008144655 -1.2262253D-05  2.6840819D-12 -1.1195448D-14 -5.7855816D-19 -6.9458144D-23 -9.5389371D-27
  39   -617.7752  0.1903806127 -1.2204595D-05  6.3341329D-12 -1.1175337D-14 -6.4177083D-19 -8.0250646D-23 -1.1147283D-26
  40   -561.0386  0.1801623793 -1.2121515D-05  1.0825711D-11 -1.1221564D-14 -7.1759014D-19 -9.2932063D-23 -1.3224542D-26
  41   -508.5164  0.1701881853 -1.2013109D-05  1.5872883D-11 -1.1358051D-14 -8.0669783D-19 -1.0737684D-22 -1.5430975D-26
  42   -460.0097  0.1604837344 -1.1880137D-05  2.1169611D-11 -1.1601291D-14 -9.0854409D-19 -1.2369661D-22 -1.8080975D-26
  43   -415.3137  0.1510714411 -1.1723960D-05  2.6415764D-11 -1.1959189D-14 -1.0219372D-18 -1.4188834D-22 -2.1126298D-26
  44   -374.2201  0.1419700392 -1.1546425D-05  3.1342792D-11 -1.2429960D-14 -1.1452373D-18 -1.6201902D-22 -2.4505006D-26
  45   -336.5197  0.1331943916 -1.1349731D-05  3.5734414D-11 -1.3002702D-14 -1.2767116D-18 -1.8439311D-22 -2.8406743D-26
  46   -302.0048  0.1247554931 -1.1136277D-05  3.9439728D-11 -1.3659291D-14 -1.4148995D-18 -2.0978562D-22 -3.3695313D-26
  47   -270.4708  0.1166606436 -1.0908523D-05  4.2377343D-11 -1.4377631D-14 -1.5590561D-18 -2.3927972D-22 -4.1600822D-26
  48   -241.7184  0.1089137530 -1.0668859D-05  4.4530313D-11 -1.5137550D-14 -1.7107651D-18 -2.7239691D-22 -4.9391147D-26
  49   -215.5544  0.1015157294 -1.0419515D-05  4.5938833D-11 -1.5917824D-14 -1.8711338D-18 -3.1072185D-22 -5.8845337D-26
  50   -191.7934  0.0944649157 -1.0162497D-05  4.6684462D-11 -1.6702222D-14 -2.0426627D-18 -3.5534421D-22 -7.0364153D-26
  51   -170.2578  0.0877575276 -9.8995515D-06  4.6875718D-11 -1.7479529D-14 -2.2285602D-18 -4.0747985D-22 -8.4331671D-26
  52   -150.7790  0.0813880693 -9.6321633D-06  4.6634179D-11 -1.8243712D-14 -2.4325235D-18 -4.6853072D-22 -1.0136951D-25
  53   -133.1971  0.0753497048 -9.3615653D-06  4.6083004D-11 -1.8993445D-14 -2.6585789D-18 -5.4010292D-22 -1.2221678D-25
  54   -117.3611  0.0696345775 -9.0887668D-06  4.5338554D-11 -1.9731205D-14 -2.9109861D-18 -6.2408303D-22 -1.4778673D-25
  55   -103.1290  0.0642340733 -8.8145859D-06  4.4505141D-11 -2.0462222D-14 -3.1942358D-18 -7.2275201D-22 -1.7907071D-25
  56    -90.3675  0.0591390319 -8.5396835D-06  4.3672512D-11 -2.1193462D-14 -3.5130565D-18 -8.3885632D-22 -2.1781502D-25
  57    -78.9517  0.0543399120 -8.2645962D-06  4.2915455D-11 -2.1932752D-14 -3.8726130D-18 -9.7577876D-22 -2.6569166D-25
  58    -68.7648  0.0498269179 -7.9897646D-06  4.2294827D-11 -2.2688164D-14 -4.2786214D-18 -1.1377254D-21 -3.2559217D-25
  59    -59.6979  0.0455900956 -7.7155570D-06  4.1859405D-11 -2.3467618D-14 -4.7376743D-18 -1.3298730D-21 -4.0012564D-25
  60    -51.6497  0.0416194048 -7.4422889D-06  4.1648015D-11 -2.4278746D-14 -5.2574110D-18 -1.5586986D-21 -4.9394996D-25
  61    -44.5257  0.0379047731 -7.1702371D-06  4.1691621D-11 -2.5128933D-14 -5.8469853D-18 -1.8324299D-21 -6.1278113D-25
  62    -38.2386  0.0344361382 -6.8996513D-06  4.2015073D-11 -2.6025566D-14 -6.5174654D-18 -2.1613887D-21 -7.6357478D-25
  63    -32.7073  0.0312034796 -6.6307619D-06  4.2638421D-11 -2.6976449D-14 -7.2823739D-18 -2.5588316D-21 -9.5682748D-25
  64    -27.8569  0.0281968441 -6.3637868D-06  4.3577696D-11 -2.7990430D-14 -8.1585859D-18 -3.0418740D-21 -1.2055264D-24
  65    -23.6183  0.0254063659 -6.0989361D-06  4.4845078D-11 -2.9078273D-14 -9.1673507D-18 -3.6329619D-21 -1.5285365D-24
  66    -19.9279  0.0228222838 -5.8364163D-06  4.6448402D-11 -3.0254019D-14 -1.0336086D-17 -4.3621264D-21 -1.9528707D-24
  67    -16.7273  0.0204349547 -5.5764350D-06  4.8389758D-11 -3.1537100D-14 -1.1701125D-17 -5.2703941D-21 -2.5159895D-24
  68    -13.9627  0.0182348649 -5.3192043D-06  5.0662852D-11 -3.2955826D-14 -1.3312243D-17 -6.4154476D-21 -3.2732257D-24
  69    -11.5851  0.0162126391 -5.0649473D-06  5.3248366D-11 -3.4553372D-14 -1.5240397D-17 -7.8817624D-21 -4.3121784D-24
  70     -9.5499  0.0143590476 -4.8139042D-06  5.6106016D-11 -3.6398341D-14 -1.7592099D-17 -9.7990854D-21 -5.7693416D-24
  71     -7.8164  0.0126650100 -4.5663434D-06  5.9160794D-11 -3.8604083D-14 -2.0535675D-17 -1.2376507D-20 -7.8767973D-24
  72     -6.3476  0.0111215970 -4.3225770D-06  6.2278864D-11 -4.1364513D-14 -2.4352580D-17 -1.5973574D-20 -1.1059674D-23
  73     -5.1102  0.0097200265 -4.0829859D-06  6.5224544D-11 -4.5022314D-14 -2.9540008D-17 -2.1245396D-20 -1.6121049D-23
  74     -4.0741  0.0084516539 -3.8480619D-06  6.7582351D-11 -5.0200966D-14 -3.7020341D-17 -2.9459476D-20 -2.4703304D-23
  75     -3.2123  0.0073079515 -3.6184779D-06  6.8614118D-11 -5.8063192D-14 -4.8576505D-17 -4.3192159D-20 -4.0372778D-23
  76     -2.5007  0.0062804711 -3.3952091D-06  6.6996752D-11 -7.0816530D-14 -6.7756629D-17 -6.7860205D-20 -7.1092486D-23
  77     -1.9179  0.0053607799 -3.1797371D-06  6.0350416D-11 -9.2673749D-14 -1.0168969D-16 -1.1499519D-19 -1.3494413D-22
  78     -1.4450  0.0045403567 -2.9743829D-06  4.4445569D-11 -1.3152177D-13 -1.6437274D-16 -2.0852454D-19 -2.7206128D-22
  79     -1.0653  0.0038104373 -2.7827809D-06  1.2108410D-11 -2.0115460D-13 -2.8110769D-16 -3.9402624D-19 -5.6547511D-22
  80     -0.7644  0.0031618352 -2.6103148D-06 -4.7415947D-11 -3.2186702D-13 -4.8952595D-16 -7.4557724D-19 -1.1772222D-21
  81     -0.5300  0.0025848830 -2.4636950D-06 -1.4576641D-10 -5.1246947D-13 -8.2724718D-16 -1.3753369D-18 -2.4958881D-21
  82     -0.3518  0.0020699281 -2.3477302D-06 -2.8440783D-10 -7.6871757D-13 -1.3271490D-15 -2.5909246D-18 -5.9747203D-21
  83     -0.2207  0.0016090701 -2.2576864D-06 -4.3801521D-10 -1.0613891D-12 -2.1524473D-15 -5.5873244D-18 -1.6915267D-20
  84     -0.1290  0.0011991513 -2.1716926D-06 -5.5604482D-10 -1.3977673D-12 -3.7537759D-15 -1.1732485D-17 -2.2060869D-20

 For  Li(  7) - Li(  7)
 ----------------------
   v       E            Bv           -Dv             Hv             Lv            Mv             Nv             Ov
 ====================================================================================================================
   0  -6966.7838  0.5074865912 -8.4310175D-06  1.0477942D-10 -2.1137623D-15  3.7279236D-20 -1.1749606D-24  4.8150306D-29
   1  -6719.9673  0.4997321624 -8.3857367D-06  1.0337573D-10 -2.1554988D-15  4.3829413D-20 -1.5957737D-24  4.8122137D-29
   2  -6477.8536  0.4919894698 -8.3432292D-06  1.0230864D-10 -2.2171456D-15  4.8194902D-20 -1.8705041D-24  4.8997063D-29
   3  -6240.4329  0.4842607369 -8.3034061D-06  1.0141165D-10 -2.2937764D-15  5.1181125D-20 -2.0438469D-24  4.9621604D-29
   4  -6007.6936  0.4765462758 -8.2663498D-06  1.0056705D-10 -2.3806182D-15  5.3293670D-20 -2.1496449D-24  4.9274127D-29
   5  -5779.6236  0.4688448394 -8.2322275D-06  9.9694729D-11 -2.4735000D-15  5.4819200D-20 -2.2137099D-24  4.7556871D-29
   6  -5556.2116  0.4611539615 -8.2012343D-06  9.8742274D-11 -2.5691241D-15  5.5890534D-20 -2.2551640D-24  4.4359140D-29
